emp_no,last_name,title,from_date,birth_date,first_name,to_date
10001,Facello,Senior Engineer,1986-06-26,1953-09-02,Georgi,9999-01-01
10004,Koblick,Engineer,1986-12-01,1954-05-01,Chirstian,1995-12-01
10004,Koblick,Senior Engineer,1995-12-01,1954-05-01,Chirstian,9999-01-01
10009,Peac,Assistant Engineer,1985-02-18,1952-04-19,Sumant,1990-02-18
10009,Peac,Engineer,1990-02-18,1952-04-19,Sumant,1995-02-18
10009,Peac,Senior Engineer,1995-02-18,1952-04-19,Sumant,9999-01-01
10018,Peha,Engineer,1987-04-03,1954-06-19,Kazuhide,1995-04-03
10018,Peha,Senior Engineer,1995-04-03,1954-06-19,Kazuhide,9999-01-01
10035,Chappelet,Engineer,1988-09-05,1953-02-08,Alain,1996-09-05
10035,Chappelet,Senior Engineer,1996-09-05,1953-02-08,Alain,9999-01-01
10053,Zschoche,Senior Staff,1994-11-13,1954-09-13,Sanjiv,9999-01-01
10058,McFarlin,Senior Staff,1988-04-25,1954-10-01,Berhard,9999-01-01
10066,Schusler,Assistant Engineer,1986-02-26,1952-11-13,Kwee,1992-02-26
10066,Schusler,Engineer,1992-02-26,1952-11-13,Kwee,1998-02-25
10066,Schusler,Senior Engineer,1998-02-25,1952-11-13,Kwee,9999-01-01
10067,Stavenow,Engineer,1987-03-04,1953-01-07,Claudi,1996-03-03
10067,Stavenow,Senior Engineer,1996-03-03,1953-01-07,Claudi,9999-01-01
10070,Garigliano,Technique Leader,1985-10-14,1955-08-20,Reuven,9999-01-01
10072,Sidou,Engineer,1989-05-21,1952-05-15,Hironoby,1995-05-21
10072,Sidou,Senior Engineer,1995-05-21,1952-05-15,Hironoby,9999-01-01
10076,Ritzmann,Senior Engineer,1996-07-15,1952-06-13,Erez,9999-01-01
10088,Syrzycki,Senior Staff,1993-09-02,1954-02-25,Jungsoon,9999-01-01
10088,Syrzycki,Staff,1988-09-02,1954-02-25,Jungsoon,1993-09-02
10100,Haraldson,Senior Staff,1994-09-21,1953-04-21,Hironobu,9999-01-01
10100,Haraldson,Staff,1987-09-21,1953-04-21,Hironobu,1994-09-21
10103,Birch,Engineer,1998-01-12,1953-11-26,Akemi,9999-01-01
10126,Valtorta,Senior Staff,1991-09-08,1954-08-07,Kayoko,9999-01-01
10126,Valtorta,Staff,1985-09-08,1954-08-07,Kayoko,1991-09-08
10129,Peir,Technique Leader,1996-01-16,1955-12-02,Armond,9999-01-01
10130,Casperson,Senior Engineer,1988-06-21,1955-04-27,Nishit,9999-01-01
10134,Siprelle,Engineer,1987-12-12,1953-04-15,Diederik,1994-12-12
10134,Siprelle,Senior Engineer,1994-12-12,1953-04-15,Diederik,9999-01-01
10138,Shimshoni,Engineer,1992-03-03,1955-04-24,Perry,2001-03-03
10138,Shimshoni,Senior Engineer,2001-03-03,1955-04-24,Perry,9999-01-01
10150,Perng,Engineer,1986-11-16,1955-01-29,Zhenbing,1995-11-16
10150,Perng,Senior Engineer,1995-11-16,1955-01-29,Zhenbing,9999-01-01
10153,Majewski,Assistant Engineer,2000-01-08,1955-12-15,Heekeun,9999-01-01
10157,Aloisi,Senior Engineer,1997-12-10,1954-04-23,Nigel,9999-01-01
10198,Furedi,Engineer,1985-08-31,1953-05-28,Pranav,1993-08-31
10198,Furedi,Senior Engineer,1993-08-31,1953-05-28,Pranav,9999-01-01
