emp_no,last_name,first_name,title
10001,Facello,Georgi,Senior Engineer
10004,Koblick,Chirstian,Senior Engineer
10009,Peac,Sumant,Senior Engineer
10018,Peha,Kazuhide,Senior Engineer
10035,Chappelet,Alain,Senior Engineer
10053,Zschoche,Sanjiv,Senior Staff
10058,McFarlin,Berhard,Senior Staff
10066,Schusler,Kwee,Senior Engineer
10067,Stavenow,Claudi,Senior Engineer
10070,Garigliano,Reuven,Technique Leader
10072,Sidou,Hironoby,Senior Engineer
10076,Ritzmann,Erez,Senior Engineer
10088,Syrzycki,Jungsoon,Senior Staff
10100,Haraldson,Hironobu,Senior Staff
10103,Birch,Akemi,Engineer
10126,Valtorta,Kayoko,Senior Staff
10129,Peir,Armond,Technique Leader
10130,Casperson,Nishit,Senior Engineer
10134,Siprelle,Diederik,Senior Engineer
10138,Shimshoni,Perry,Senior Engineer
10150,Perng,Zhenbing,Senior Engineer
10153,Majewski,Heekeun,Assistant Engineer
10157,Aloisi,Nigel,Senior Engineer
10198,Furedi,Pranav,Senior Engineer
10215,Duclos,Xiaobin,Senior Staff
10224,Trogemann,Leon,Senior Engineer
10233,Vendrig,Lein,Senior Staff
10258,Ishibashi,Basil,Senior Engineer
10272,Cannane,Yishai,Staff
10282,Benzmuller,Hercules,Engineer
10283,Birjandi,Kauko,Senior Engineer
10326,Czap,Masali,Staff
10340,Laventhal,Djelloul,Senior Staff
10347,Kaminger,Pradeep,Staff
10355,Cochrane,Satyanarayana,Staff
10356,Standera,Vasilis,Senior Staff
10364,Dengi,Nakhoon,Senior Engineer
10372,Frijda,Anneli,Technique Leader
10387,Wrigley,Parto,Senior Staff
10396,Rahier,Sibyl,Senior Engineer
10402,Ebeling,Volkmar,Technique Leader
10404,Rosti,Prodip,Senior Engineer
10426,Luce,Arunas,Technique Leader
10429,Improta,Martien,Senior Engineer
10432,Tiemann,Hisao,Senior Staff
10451,Ranta,Bodh,Senior Engineer
10453,Matzel,Tsvetan,Senior Staff
10463,Zaiane,Ung,Staff
10486,Kossowski,Amstein,Senior Engineer
10494,Servieres,Yakkov,Senior Engineer
10504,Varker,Xiong,Staff
10512,Gihr,Udi,Senior Staff
10522,Cesareni,Marke,Senior Staff
10548,Gunderson,Ramalingam,Senior Staff
10564,Thisen,Jianhao,Senior Engineer
10623,Danlos,Aleksander,Senior Engineer
10628,Krogh,Krisda,Senior Engineer
10631,Chaudhuri,Inderjeet,Engineer
10642,Narlikar,Hirochika,Engineer
10653,Feinberg,Otmar,Senior Engineer
10671,Rebaine,Parviz,Senior Staff
10676,Danley,Valeri,Engineer
10693,Daescu,Berhard,Senior Staff
10702,Szemeredi,Bader,Senior Engineer
10718,Rullman,Adib,Senior Engineer
10726,Minakawa,Zita,Senior Engineer
10734,Erdi,Sachar,Engineer
10745,Ranze,Poorav,Senior Engineer
10749,Brendel,King,Senior Engineer
10767,Doering,Monique,Staff
10768,Candan,Ishfaq,Senior Engineer
10778,Merey,Selwyn,Senior Staff
10791,Sgarro,Tadahiko,Senior Engineer
10795,Naudin,Supot,Senior Staff
10808,Leijenhorst,Chenxi,Senior Engineer
10835,Kermarrec,Tomoyuki,Engineer
10836,Leivant,Jianhua,Senior Staff
10844,Koprowski,Dipayan,Engineer
